Female False Negative Rate Before,Male False Negative Rate Before,Female False Negative Rate After,Male False Negative Rate After,Equalized Odds Ratio Before,Equalized Odds Ratio After,Equalized Odds Difference Before,Equalized Odds Difference After
0.5,0.07692307692307693,0.3333333333333333,0.3076923076923077,0.0,0.0,0.42307692307692313,0.07142857142857142
0.5,0.07692307692307693,0.0,0.07692307692307693,0.0,0.9230769230769231,0.42307692307692313,0.07692307692307687
0.5,0.38461538461538464,0.0,0.07692307692307693,0.0,0.46666666666666673,0.11538461538461542,0.22857142857142854
0.5,0.07692307692307693,0.3333333333333333,0.3076923076923077,0.0,0.3571428571428571,0.42307692307692313,0.1285714285714286
0.3333333333333333,0.23076923076923078,0.16666666666666666,0.23076923076923078,0.3571428571428571,0.7142857142857142,0.1285714285714286,0.11428571428571432
0.5,0.07692307692307693,0.16666666666666666,0.23076923076923078,0.0,0.9230769230769231,0.42307692307692313,0.0641025641025641
0.3333333333333333,0.23076923076923078,0.0,0.0,0.3571428571428571,0.7142857142857143,0.1285714285714286,0.17142857142857143
0.5,0.38461538461538464,0.3333333333333333,0.3076923076923077,0.0,0.7000000000000001,0.11538461538461542,0.08571428571428569
0.3333333333333333,0.38461538461538464,0.5,0.5384615384615384,0.0,0.0,0.2,0.038461538461538436
0.5,0.07692307692307693,0.0,0.07692307692307693,0.0,0.5952380952380952,0.42307692307692313,0.24285714285714283
0.3333333333333333,0.23076923076923078,0.3333333333333333,0.3076923076923077,0.3571428571428571,0.0,0.1285714285714286,0.07142857142857142
0.3333333333333333,0.23076923076923078,0.3333333333333333,0.3076923076923077,0.3571428571428571,0.0,0.1285714285714286,0.07142857142857142
0.3333333333333333,0.23076923076923078,0.0,0.07692307692307693,0.3571428571428571,0.7142857142857143,0.1285714285714286,0.17142857142857143
0.5,0.38461538461538464,0.0,0.15384615384615385,0.0,0.6222222222222222,0.11538461538461542,0.24285714285714288
0.3333333333333333,0.38461538461538464,0.16666666666666666,0.0,0.0,0.8333333333333334,0.2,0.16666666666666663
0.3333333333333333,0.38461538461538464,0.3333333333333333,0.3076923076923077,0.0,0.7142857142857142,0.2,0.05714285714285716
0.3333333333333333,0.38461538461538464,0.16666666666666666,0.07692307692307693,0.0,0.5357142857142857,0.2,0.18571428571428575
0.5,0.38461538461538464,0.0,0.23076923076923078,0.0,0.7000000000000001,0.11538461538461542,0.23076923076923073
0.5,0.38461538461538464,0.16666666666666666,0.15384615384615385,0.0,0.7000000000000001,0.11538461538461542,0.08571428571428569
0.3333333333333333,0.38461538461538464,0.16666666666666666,0.15384615384615385,0.0,0.3571428571428571,0.2,0.1285714285714286
0.5,0.07692307692307693,0.16666666666666666,0.15384615384615385,0.0,0.7000000000000001,0.42307692307692313,0.08571428571428569
0.3333333333333333,0.23076923076923078,0.0,0.07692307692307693,0.3571428571428571,0.7142857142857143,0.1285714285714286,0.17142857142857143
0.5,0.07692307692307693,0.0,0.0,0.0,0.8928571428571428,0.42307692307692313,0.04285714285714287
0.5,0.07692307692307693,0.16666666666666666,0.38461538461538464,0.0,0.0,0.42307692307692313,0.21794871794871795
0.3333333333333333,0.23076923076923078,0.0,0.07692307692307693,0.3571428571428571,0.7142857142857143,0.1285714285714286,0.17142857142857143
0.5,0.07692307692307693,0.0,0.0,0.0,0.9333333333333335,0.42307692307692313,0.028571428571428525
0.3333333333333333,0.38461538461538464,0.0,0.23076923076923078,0.0,0.3571428571428571,0.2,0.23076923076923073
0.5,0.38461538461538464,0.0,0.0,0.0,0.46666666666666673,0.11538461538461542,0.22857142857142854
0.3333333333333333,0.38461538461538464,0.0,0.07692307692307693,0.0,0.5952380952380952,0.2,0.24285714285714283
0.5,0.07692307692307693,0.0,0.0,0.3571428571428571,0.9333333333333335,0.42307692307692313,0.028571428571428525
